id,latitude,longitude,name,type,pm25,color,url,label
1,24.161,120.732,明日,Malfunction,0,ff0000,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F7C2D6,&starf;&starf;&starf;&starf;&starf;
2,24.866,120.986,AirBox-NDMC-21,Malfunction,0,ff0000,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F7C2CE,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
3,24.838,121.024,AirBox-NDMC-25,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F7C2BE,&starf;&starf;&starf;&starf;&starf;
4,23.89,120.359,THU_USR_38(2019),AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F7C28C,&starf;&starf;&starf;&starf;&starf;
5,24.183,120.589,THU_USR_45(2019),AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F7C288,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
6,23.861,120.429,THU_USR_33(2019),AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F7C278,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
7,23.896,120.328,THU_USR_34(2019),AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F7C276,&starf;&starf;&starf;&starf;&starf;
8,25.05,121.556,Peter_Taipei_Home,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F7C194,&starf;&star;&star;&star;&star;
9,24.266,120.785,AirBox-NDMC-16,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F7C186,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
10,24.148,120.669,taichung171,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F7C176,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
11,25.149,121.523,EdiGreenAirBox2,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F70520,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
12,25.149,121.523,臺北市泉源實驗國民小學2樓,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F7051E,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
13,23.963,120.685,虎山國小01,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F704F4,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
14,23.122,120.392,二溪國小文化國小,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F704E0,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
15,23.866,120.585,stes01,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F704DC,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
16,23.122,120.392,二溪國小佈告欄,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F704D2,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
17,25.095,121.495,cc00794,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F704BE,&starf;&starf;&starf;&starf;&starf;
18,22.687,120.314,blue OR indoor,Malfunction,0,ff0000,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F704B4,&star;&star;&star;&star;&star;
19,22.629,120.318,YD165,Malfunction,0,ff0000,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F704A2,&star;&star;&star;&star;&star;
20,22.471,120.46,興東里,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F7044E,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
21,22.963,120.325,關廟國小,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F70420,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
22,22.337,120.368,屏東縣琉球國小,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F70418,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
23,21.992,120.747,恆春工商玄關,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F703F4,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
24,24.026,120.921,太平國小,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F7039C,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
25,23.153,120.288,台南市善糖國小空氣盒子,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F7036C,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
26,24.18,120.622,2463,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F70310,&starf;&starf;&starf;&starf;&starf;
27,25.119,121.515,立農街二段289巷,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F702DC,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
28,24.812,120.962,Astra,AirBox,1,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F702C8,&star;&star;&star;&star;&star;
29,25.108,121.559,中社路一段36巷3號1樓,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F701C4,&starf;&starf;&starf;&starf;&starf;
30,25.015,121.431,新樹路258巷1號A,Malfunction,0,ff0000,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F701C0,&starf;&star;&star;&star;&star;
31,24.21,120.475,南堤路,AirBox,1,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F701BC,&starf;&starf;&starf;&star;&star;
32,24.22,120.477,龍昌路A,AirBox,1,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F701AA,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
33,24.218,120.488,龍昌路B,AirBox,1,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F701A4,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
34,24.196,120.716,華盛頓小學白宮辦公室,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F70192,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
35,24.197,120.716,華盛頓小學國際藝文大樓,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F70190,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
36,22.534,120.54,光春國中,AirBox,1,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F70170,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
37,23.492,121.39,瑞美國小pm2.5,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F70138,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
38,23.167,120.177,國立北門高中_傳達室,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F70110,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
39,22.465,120.455,東港高中實踐樓,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F700FC,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
40,23.475,120.471,蘭潭國小2,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F700D4,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
41,23.912,120.675,ntjh,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F70088,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
42,23.291,120.271,太子國中,AirBox,1,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F70082,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
43,24.845,121.791,北門坑近雪隧,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F7005E,&starf;&starf;&starf;&starf;&starf;
44,25.039,121.589,myPM2.5-h,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F70024,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
45,23.751,120.748,永隆廚具,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F6FFF8,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
46,23.767,120.737,初鄉國小,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F6FFF4,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
47,23.886,120.587,來ㄎ芭樂吧,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F6FFEC,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
48,23.75,120.777,永隆社區,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F6FFDC,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
49,23.744,120.757,鹿谷游泳池,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F6FFD0,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
50,23.737,120.76,茂騰電腦,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F6FFC6,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
51,22.619,120.299,CET.indoor,Malfunction,0,ff0000,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F6FFAC,&star;&star;&star;&star;&star;
52,25.065,121.527,新祿公園,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F6FF60,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
53,23.758,120.675,hsinrong,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F6FF50,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
54,24.632,121.789,dongshenoffice,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F6FF40,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
55,24.632,121.789,冬小 C-2,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F6FF38,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
56,24.973,121.55,jchiou寶興,Malfunction,0,ff0000,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F6FF28,&starf;&starf;&starf;&starf;&star;
57,24.946,121.5,僑信路109、120巷口,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F6FF20,&starf;&starf;&starf;&starf;&starf;
58,24.133,120.642,Wang,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F6FF1C,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
59,25.07,121.492,Ru ,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F6FF12,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
60,23.891,120.713,千秋美術教室,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F6FEFE,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
61,23.428,120.512,Dyps_Airbox1,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F6FEFA,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
62,25.024,121.513,牯嶺街,AirBox,1,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F6FEF6,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
63,23.381,120.53,沄水國小北二,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F6FECA,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
64,24.027,120.492,明正1號,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F6FEC8,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
65,22.622,120.328,高雄私立三信家商,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F6FEC2,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
66,25.137,121.484,FXing,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F6FEC0,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
67,23.686,120.388,雲林縣土庫鎮土庫國中,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F6FEBA,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
